--------------------------------------------------
Socket0:         LL: 20715822   LR:19272239     RL:10464124     RR:45674035     ERR:12505599     (21 20 10 47)
Socket1:         LL: 9516732    LR:8055135      RL:19608039     RR:58946314     ERR:12505599     (9 8 20 61)
Socket2:         LL: 5353213    LR:9964559      RL:7121460      RR:73686988     ERR:12505599     (5 10 7 76)
Socket3:         LL: 12112186   LR:11136334     RL:11234644     RR:61643056     ERR:12505599     (12 11 11 64)
--------------------------------------------------
Socket0:         LL: 20684273   LR:19169851     RL:11924859     RR:47061461     ERR:11207691     (20 19 12 47)
Socket1:         LL: 9833349    LR:8100681      RL:19629366     RR:61277048     ERR:11207691     (9 8 19 61)
Socket2:         LL: 6523524    LR:11352902     RL:7147058      RR:73816960     ERR:11207691     (6 11 7 74)
Socket3:         LL: 11955020   LR:11220844     RL:11142995     RR:64521585     ERR:11207691     (12 11 11 65)
--------------------------------------------------
Socket0:         LL: 20669642   LR:20746208     RL:12051709     RR:51821859     ERR:8869859      (19 19 11 49)
Socket1:         LL: 9868973    LR:8219789      RL:19893300     RR:67307356     ERR:8869859      (9 7 18 63)
Socket2:         LL: 10421208   LR:11612399     RL:9099935      RR:74155876     ERR:8869859      (9 11 8 70)
Socket3:         LL: 12089405   LR:11661794     RL:11195246     RR:70342973     ERR:8869859      (11 11 10 66)
--------------------------------------------------
Socket0:         LL: 20674862   LR:21970112     RL:12058582     RR:54105162     ERR:5350559      (19 20 11 49)
Socket1:         LL: 9876347    LR:8425327      RL:20035966     RR:70471078     ERR:5350559      (9 7 18 64)
Socket2:         LL: 12326206   LR:11677107     RL:10551710     RR:74253695     ERR:5350559      (11 10 9 68)
Socket3:         LL: 12089444   LR:11769313     RL:11195601     RR:73754360     ERR:5350559      (11 10 10 67)
--------------------------------------------------
Socket0:         LL: 20310154   LR:22374699     RL:12010218     RR:53874993     ERR:1726077      (18 20 11 49)
Socket1:         LL: 9725505    LR:8417474      RL:20564224     RR:69862861     ERR:1726077      (8 7 18 64)
Socket2:         LL: 12285667   LR:11680729     RL:10519317     RR:74084351     ERR:1726077      (11 10 9 68)
Socket3:         LL: 11961230   LR:11814606     RL:11193749     RR:73600479     ERR:1726077      (11 10 10 67)
--------------------------------------------------
Socket0:         LL: 20453675   LR:22742545     RL:12233082     RR:56351522     ERR:2378754      (18 20 10 50)
Socket1:         LL: 11030768   LR:8821410      RL:21158780     RR:70769866     ERR:2378754      (9 7 18 63)
Socket2:         LL: 12571592   LR:12090269     RL:10669913     RR:76449050     ERR:2378754      (11 10 9 68)
Socket3:         LL: 12079655   LR:11990910     RL:11583359     RR:76126900     ERR:2378754      (10 10 10 68)
--------------------------------------------------
Socket0:         LL: 20453259   LR:22913275     RL:12235848     RR:57524170     ERR:1033026      (18 20 10 50)
Socket1:         LL: 11264393   LR:8965681      RL:21884114     RR:71012364     ERR:1033026      (9 7 19 62)
Socket2:         LL: 12575759   LR:12123117     RL:10759561     RR:77668115     ERR:1033026      (11 10 9 68)
Socket3:         LL: 12209302   LR:12621766     RL:11744316     RR:76551168     ERR:1033026      (10 11 10 67)
--------------------------------------------------
Socket0:         LL: 20453274   LR:22954488     RL:12237881     RR:57591445     ERR:922490       (18 20 10 50)
Socket1:         LL: 11296146   LR:8973173      RL:21935469     RR:71032300     ERR:922490       (9 7 19 62)
Socket2:         LL: 12579392   LR:12138216     RL:10763800     RR:77755680     ERR:922490       (11 10 9 68)
Socket3:         LL: 12212111   LR:12630288     RL:11759015     RR:76635674     ERR:922490       (10 11 10 67)
--------------------------------------------------
Socket0:         LL: 20426461   LR:23275916     RL:12239672     RR:57350683     ERR:866846       (18 20 10 50)
Socket1:         LL: 11019221   LR:8879906      RL:22228818     RR:71164787     ERR:866846       (9 7 19 62)
Socket2:         LL: 12598051   LR:12269804     RL:10775249     RR:77649628     ERR:866846       (11 10 9 68)
Socket3:         LL: 12231173   LR:12592200     RL:11774087     RR:76695272     ERR:866846       (10 11 10 67)
--------------------------------------------------
Socket0:         LL: 20426447   LR:23277585     RL:12242091     RR:57364660     ERR:848795       (18 20 10 50)
Socket1:         LL: 11024223   LR:8882193      RL:22232598     RR:71171769     ERR:848795       (9 7 19 62)
